good, competent, 0.49778542849085006
good, pretty, 0.43573067485835804
good, crappy, 0.4319621056151758
good, somewhat, 0.43077645303691847
good, hope, 0.43006156261897044
good, excited, 0.4290752749747113
good, worth, 0.42823922013817417
good, outstanding, 0.42740307753939943
good, convincing, 0.4268440341163571
good, vince, 0.4142357342610701
bad, horrendous, 0.5675192036211759
bad, sucks, 0.5419688073026134
bad, terribly, 0.5239404981213375
bad, atrocious, 0.5181150157643584
bad, lame, 0.5094168578182191
bad, stilted, 0.4892090985973958
bad, incredibly, 0.4869358960233232
bad, fake, 0.48172658213492947
bad, terrible, 0.4779996623185476
bad, exaggerating, 0.4770380166344321
scary, scares, 0.5495325455997995
scary, wolf, 0.4898670501590041
scary, remotely, 0.4896831421636262
scary, harmless, 0.4796342395542287
scary, creepy, 0.47946512894650417
scary, terrifying, 0.478914237137785
scary, gory, 0.4758459331642233
scary, spiders, 0.47531804270790334
scary, frightening, 0.4674958766969739
scary, hilarious, 0.4562852927496107
funny, clever, 0.5797340179712762
funny, cute, 0.5567168844462306
funny, one-liners, 0.5486934867261021
funny, overacted, 0.5397776390094964
funny, amusing, 0.5292868763251078
funny, banter, 0.5114981792302379
funny, jokes, 0.49818346734792507
funny, charming, 0.49816150532926085
funny, witty, 0.4968833020662191
funny, humorous, 0.49609197932579896
